File,W,S,A,D,WA,WD,SA,SD,NK,NONE
training_data-165.npy,3137,253,187,163,349,191,31,80,605,4
training_data-166.npy,2772,34,226,199,189,254,0,57,1266,3
training_data-167.npy,3292,55,121,133,265,403,93,0,628,10
training_data-168.npy,2550,92,389,110,417,396,35,100,905,6
training_data-169.npy,3523,4,75,98,477,170,0,111,539,3
training_data-170.npy,3774,0,56,81,296,334,0,0,454,5
training_data-171.npy,3828,28,45,39,232,262,0,0,565,1
training_data-172.npy,3988,0,5,6,298,213,0,0,489,1
training_data-173.npy,3778,0,122,70,365,344,0,0,319,2
training_data-174.npy,3457,61,66,131,509,451,0,17,306,2
training_data-175.npy,3137,11,167,91,378,316,0,85,807,8
training_data-176.npy,4074,0,63,40,359,308,0,0,154,2
training_data-177.npy,4146,31,54,0,323,243,0,0,202,1
training_data-178.npy,3792,49,124,9,410,297,11,92,209,7
training_data-179.npy,4347,0,0,0,342,220,0,0,88,3
training_data-180.npy,4167,0,58,28,296,382,14,0,55,0
training_data-181.npy,3218,7,20,88,358,235,0,113,955,6
training_data-182.npy,3806,58,65,91,262,307,2,137,271,1
training_data-183.npy,2709,122,197,75,362,476,30,288,736,5
training_data-184.npy,2935,21,211,235,432,211,0,159,795,1
training_data-185.npy,4210,33,51,7,202,198,1,0,295,3
training_data-186.npy,4022,22,6,115,316,163,0,0,353,3
training_data-187.npy,4407,0,0,0,254,130,0,0,207,2
training_data-188.npy,4427,0,3,13,181,230,0,0,146,0
training_data-189.npy,4107,33,108,17,197,223,0,2,313,0
training_data-190.npy,3536,14,76,76,214,474,0,91,512,7
training_data-191.npy,3183,58,167,74,372,632,26,4,480,4
training_data-192.npy,4062,0,34,0,310,391,0,0,202,1
training_data-193.npy,3880,0,53,111,317,325,0,0,313,1
training_data-194.npy,3910,0,14,24,192,277,51,0,527,5
training_data-195.npy,4306,0,2,13,208,160,0,0,310,1
training_data-196.npy,4135,8,0,12,225,240,0,34,345,1
training_data-197.npy,3364,138,51,188,305,364,82,20,485,3
training_data-198.npy,3132,34,177,111,546,257,168,20,551,4
training_data-199.npy,3627,50,104,106,364,416,35,47,248,3
training_data-200.npy,3546,39,111,137,341,340,8,0,475,3
