File,W,S,A,D,WA,WD,SA,SD,NK,NONE
training_data-57.npy,3559,13,94,55,367,453,68,0,389,2
training_data-58.npy,3329,2,228,225,317,338,64,3,493,1
training_data-59.npy,3675,24,136,81,349,329,0,0,403,3
training_data-60.npy,3284,0,122,155,363,230,18,29,794,5
training_data-61.npy,3662,0,115,14,178,157,0,0,872,2
training_data-62.npy,3535,9,81,54,328,332,114,0,545,2
training_data-63.npy,3118,49,148,170,246,227,0,0,1039,3
training_data-64.npy,3170,0,287,150,252,326,0,0,809,6
training_data-65.npy,3257,42,161,254,430,359,0,0,496,1
training_data-66.npy,4023,0,30,22,208,284,0,0,433,0
training_data-67.npy,4176,0,7,26,274,183,0,0,333,1
training_data-68.npy,3648,0,121,103,264,238,0,0,625,1
training_data-69.npy,3859,0,64,64,247,222,0,0,544,0
training_data-70.npy,3391,26,127,145,322,234,0,0,754,1
training_data-71.npy,2771,0,345,462,293,229,0,0,899,1
training_data-72.npy,2930,7,258,173,300,265,109,0,951,7
training_data-73.npy,3797,18,174,79,204,244,8,0,473,3
training_data-74.npy,3621,0,27,110,320,209,0,0,713,0
training_data-75.npy,3635,0,60,6,125,128,0,0,1044,2
training_data-76.npy,2755,0,228,244,356,352,0,0,1059,6
training_data-77.npy,3649,26,155,211,322,378,0,13,243,3
training_data-78.npy,3334,0,97,125,370,326,115,0,632,1
training_data-79.npy,4224,0,0,6,246,301,0,0,223,0
training_data-80.npy,4034,0,75,57,153,160,0,0,520,1
training_data-81.npy,3851,21,96,44,218,320,0,0,445,5
training_data-82.npy,3682,0,67,70,266,271,0,0,640,4
training_data-83.npy,3429,47,40,122,482,260,59,0,560,1
training_data-84.npy,3179,1,192,98,298,344,46,0,838,4
training_data-85.npy,2804,0,299,249,536,421,65,65,555,6
training_data-86.npy,3188,38,157,279,513,254,90,71,403,7
training_data-87.npy,4184,0,5,16,211,291,0,0,292,1
training_data-88.npy,3988,41,21,42,214,255,0,0,436,3
training_data-89.npy,3255,5,160,90,390,290,139,0,665,6
training_data-90.npy,3777,0,62,200,243,241,0,0,475,2
training_data-91.npy,3398,153,30,56,262,298,11,121,665,6
training_data-92.npy,4025,0,3,42,161,210,0,0,554,5
training_data-93.npy,3908,0,71,37,212,216,0,0,553,3
training_data-94.npy,3276,0,96,102,295,219,0,0,1010,2
training_data-95.npy,2747,6,282,254,361,205,85,0,1057,3
training_data-96.npy,2792,0,328,189,307,281,11,28,1058,6
training_data-97.npy,3309,4,155,188,419,344,180,71,326,4
training_data-98.npy,3668,14,121,52,376,378,20,0,371,0
training_data-99.npy,2485,34,284,279,459,257,42,8,1148,4
training_data-100.npy,3343,0,187,314,453,277,0,0,423,3
